x,y,motor1,motor2,V1,V2,A1,A2
0.5,0.39,-1.11022302463e-16,0.1,0.0,1.11189646673e-06,-1.23445305836e-21,0.0
0.51,0.39,-0.01,0.1,0.0,1.00608606035e-06,-1.00608606035e-07,0.0
0.52,0.39,-0.02,0.1,0.0,7.45327856837e-07,-1.49065571367e-07,0.0
0.53,0.39,-0.03,0.1,0.0,4.52064859581e-07,-1.35619457874e-07,0.0
0.54,0.39,-0.04,0.1,0.0,2.2448902107e-07,-8.9795608428e-08,0.0
0.55,0.39,-0.05,0.1,0.0,9.12704857066e-08,-4.56352428533e-08,0.0
0.56,0.39,-0.06,0.1,0.0,3.03813147363e-08,-1.82287888418e-08,0.0
0.57,0.39,-0.07,0.1,0.0,8.27987509479e-09,-5.79591256635e-09,0.0
0.58,0.39,-0.08,0.1,0.0,1.84748991533e-09,-1.47799193226e-09,0.0
0.59,0.39,-0.09,0.1,0.0,3.37505970932e-10,-3.03755373839e-10,0.0
0.6,0.39,-0.1,0.1,0.0,5.04803021242e-11,-5.04803021242e-11,0.0
0.61,0.39,-0.11,0.1,0.0,6.18163749663e-12,-6.79980124629e-12,0.0
0.62,0.39,-0.12,0.1,0.0,6.19763827742e-13,-7.43716593291e-13,0.0
0.63,0.39,-0.13,0.1,0.0,5.08733129475e-14,-6.61353068318e-14,0.0
0.64,0.39,-0.14,0.1,0.0,3.41896708141e-15,-4.78655391397e-15,0.0
0.65,0.39,-0.15,0.1,0.0,1.88122578086e-16,-2.82183867129e-16,0.0
0.35,0.4,0.15,0.1,0.0,1.53624093704e-15,2.30436140556e-15,0.0
0.36,0.4,0.14,0.1,0.0,2.79198661123e-14,3.90878125572e-14,0.0
0.37,0.4,0.13,0.1,0.0,4.15440117544e-13,5.40072152807e-13,0.0
0.38,0.4,0.12,0.1,0.0,5.0610967229e-12,6.07331606747e-12,0.0
0.39,0.4,0.11,0.1,0.0,5.04803021242e-11,5.55283323366e-11,0.0
0.4,0.4,0.1,0.1,0.0,4.12230723638e-10,4.12230723638e-10,0.0
0.41,0.4,0.09,0.1,0.0,2.75613107181e-09,2.48051796463e-09,0.0
0.42,0.4,0.08,0.1,0.0,1.50869155616e-08,1.20695324493e-08,0.0
0.43,0.4,0.07,0.1,0.0,6.76148468193e-08,4.73303927735e-08,0.0
0.44,0.4,0.06,0.1,0.0,2.48098708226e-07,1.48859224936e-07,0.0
0.45,0.4,0.05,0.1,0.0,7.45327856837e-07,3.72663928419e-07,0.0
0.46,0.4,0.04,0.1,0.0,1.83320074397e-06,7.33280297588e-07,0.0
0.47,0.4,0.03,0.1,0.0,3.69157865913e-06,1.10747359774e-06,0.0
0.48,0.4,0.02,0.1,0.0,6.08631138011e-06,1.21726227602e-06,0.0
0.49,0.4,0.01,0.1,0.0,8.21557355295e-06,8.21557355295e-07,0.0
0.5,0.4,-1.11022302463e-16,0.1,0.0,9.07957374049e-06,-1.00803518205e-20,0.0
0.51,0.4,-0.01,0.1,0.0,8.21557355295e-06,-8.21557355295e-07,0.0
0.52,0.4,-0.02,0.1,0.0,6.08631138011e-06,-1.21726227602e-06,0.0
0.53,0.4,-0.03,0.1,0.0,3.69157865913e-06,-1.10747359774e-06,0.0
0.54,0.4,-0.04,0.1,0.0,1.83320074397e-06,-7.33280297588e-07,0.0
0.55,0.4,-0.05,0.1,0.0,7.45327856837e-07,-3.72663928419e-07,0.0
0.56,0.4,-0.06,0.1,0.0,2.48098708226e-07,-1.48859224936e-07,0.0
0.57,0.4,-0.07,0.1,0.0,6.76148468192e-08,-4.73303927735e-08,0.0
0.58,0.4,-0.08,0.1,0.0,1.50869155616e-08,-1.20695324493e-08,0.0
0.59,0.4,-0.09,0.1,0.0,2.75613107181e-09,-2.48051796463e-09,0.0
0.6,0.4,-0.1,0.1,0.0,4.12230723638e-10,-4.12230723638e-10,0.0
0.61,0.4,-0.11,0.1,0.0,5.04803021242e-11,-5.55283323366e-11,0.0
0.62,0.4,-0.12,0.1,0.0,5.0610967229e-12,-6.07331606747e-12,0.0
0.63,0.4,-0.13,0.1,0.0,4.15440117544e-13,-5.40072152807e-13,0.0
0.64,0.4,-0.14,0.1,0.0,2.79198661123e-14,-3.90878125572e-14,0.0
0.65,0.4,-0.15,0.1,0.0,1.53624093704e-15,-2.30436140556e-15,0.0
0.35,0.41,0.15,0.1,0.0,1.0271144743e-14,1.54067171144e-14,0.0
0.36,0.41,0.14,0.1,0.0,1.86669277669e-13,2.61336988737e-13,0.0
0.37,0.41,0.13,0.1,0.0,2.77758877295e-12,3.61086540484e-12,0.0
0.38,0.41,0.12,0.1,0.0,3.38379584466e-11,4.06055501359e-11,0.0
0.39,0.41,0.11,0.1,0.0,3.37505970932e-10,3.71256568025e-10,0.0
0.4,0.41,0.1,0.1,0.0,2.75613107181e-09,2.75613107181e-09,0.0
