w,x,y,motor1,motor2
1000.0,0.53,0.38,-0.99976640861,0.0697555394714
1000.0,0.54,0.38,-0.999373115135,0.0693360878699
1000.0,0.55,0.38,-0.998316356292,0.0681985796017
1000.0,0.56,0.38,-0.995484136487,0.065119246997
1000.0,0.57,0.38,-0.987944896552,0.056837805764
1000.0,0.58,0.38,-0.968237917336,0.0349634796759
1000.0,0.59,0.38,-0.919104116295,-0.0201652023213
1000.0,0.6,0.38,-0.809916066743,-0.144094534861
1000.0,0.61,0.38,-0.619541937823,-0.363074602522
1000.0,0.62,0.38,-0.396512425551,-0.624335166245
1000.0,0.63,0.38,-0.232718493015,-0.822381752669
1000.0,0.64,0.38,-0.152086072237,-0.926997695275
1000.0,0.65,0.38,-0.123607319439,-0.971933520219
1000.0,0.35,0.39,0.0802151690415,0.983092962627
1000.0,0.36,0.39,0.0383057981704,0.955419679132
1000.0,0.37,0.39,-0.0487391566528,0.887949252471
1000.0,0.38,0.39,-0.21776732626,0.747195058943
1000.0,0.39,0.39,-0.469999999633,0.529999999554
1000.0,0.4,0.39,-0.717611344442,0.312805079633
1000.0,0.41,0.39,-0.876028174162,0.172051450535
1000.0,0.42,0.39,-0.951149332082,0.104582141866
1000.0,0.43,0.39,-0.981650436324,0.0769103238883
1000.0,0.44,0.39,-0.993235156948,0.0662958328518
1000.0,0.45,0.39,-0.99752162978,0.0623292320699
1000.0,0.46,0.39,-0.999092473663,0.0608605012544
1000.0,0.47,0.39,-0.999666030684,0.0603170815083
1000.0,0.48,0.39,-0.99987356406,0.0601136054244
1000.0,0.49,0.39,-0.99994300608,0.0600313939546
1000.0,0.5,0.39,-0.999950403126,0.059982513735
1000.0,0.51,0.39,-0.999904663967,0.0599147806066
1000.0,0.52,0.39,-0.999758673701,0.0597560109489
1000.0,0.53,0.39,-0.99936017361,0.0593366761519
1000.0,0.54,0.39,-0.998290963613,0.0582069403786
1000.0,0.55,0.39,-0.995429199011,0.0551551642132
1000.0,0.56,0.39,-0.98781359716,0.0469520103904
1000.0,0.57,0.39,-0.96790463932,0.025284638362
1000.0,0.58,0.39,-0.918258378677,-0.0293258851817
1000.0,0.59,0.39,-0.807914124965,-0.152094816721
1000.0,0.6,0.39,-0.615494337732,-0.369027369291
1000.0,0.61,0.39,-0.39002331171,-0.627846052337
1000.0,0.62,0.39,-0.224378479879,-0.824041732469
1000.0,0.63,0.39,-0.142768337207,-0.927679959254
1000.0,0.64,0.39,-0.113869623018,-0.972195823718
1000.0,0.65,0.39,-0.108831073271,-0.989598958141
1000.0,0.35,0.4,0.0926378639809,0.993641791597
1000.0,0.36,0.4,0.0703950309155,0.982913100276
1000.0,0.37,0.4,0.0287800535673,0.954945417309
1000.0,0.38,0.4,-0.0575471591301,0.886757194625
1000.0,0.39,0.4,-0.22507806925,0.744505502248
1000.0,0.4,0.4,-0.474999997289,0.524999996709
1000.0,0.41,0.4,-0.720297692226,0.305497281936
1000.0,0.42,0.4,-0.877208208923,0.163254509537
1000.0,0.43,0.4,-0.951598764613,0.0950794258598
1000.0,0.44,0.4,-0.981794425157,0.0671236232657
1000.0,0.45,0.4,-0.993262038451,0.056399875314
1000.0,0.46,0.4,-0.997510039803,0.052386085511
1000.0,0.47,0.4,-0.999072770877,0.0508897963993
1000.0,0.48,0.4,-0.99964400923,0.0503235202995
1000.0,0.49,0.4,-0.999837598839,0.0500911107264
1000.0,0.5,0.4,-0.999858005831,0.0499513376149
1000.0,0.51,0.4,-0.999728364333,0.0497598210624
1000.0,0.52,0.4,-0.999320657826,0.0493197669943
1000.0,0.53,0.4,-0.998224499615,0.0481767069729
1000.0,0.54,0.4,-0.995317294537,0.0451334407098
1000.0,0.55,0.4,-0.987617975737,0.0369994553973
1000.0,0.56,0.4,-0.967514284626,0.0155456644329
1000.0,0.57,0.4,-0.917374995111,-0.0385267149172
1000.0,0.58,0.4,-0.80589602597,-0.160112522424
1000.0,0.59,0.4,-0.611443445278,-0.374983722615
1000.0,0.6,0.4,-0.383534196995,-0.631356937124
1000.0,0.61,0.4,-0.216038561809,-0.825701605454
1000.0,0.62,0.4,-0.133450618415,-0.928362204647
1000.0,0.63,0.4,-0.104131928164,-0.972458125332
1000.0,0.64,0.4,-0.0989291964052,-0.989697081022
1000.0,0.65,0.4,-0.103269046753,-0.996186112103
1000.0,0.35,0.41,0.0972801145244,0.997626281704
1000.0,0.36,0.41,0.082704791923,0.993574862439
1000.0,0.37,0.41,0.0605748840548,0.982733229792
1000.0,0.38,0.41,0.0192542125962,0.954471067882
1000.0,0.39,0.41,-0.0663558934282,0.88556446982
1000.0,0.4,0.41,-0.232391737736,0.741813255451
1000.0,0.41,0.41,-0.479999980002,0.519999975711
1000.0,0.42,0.41,-0.722947333942,0.298223707322
1000.0,0.43,0.41,-0.878273642686,0.154565575246
1000.0,0.44,0.41,-0.95186020966,0.0857554718431
1000.0,0.45,0.41,-0.981724914978,0.057540839073
