m1,m2,dm1,dm2,v1,v2,a1,a2
0.2,0.01,0.231762745844,0.133353806318,1.67593033344e-23,-7.44391501898e-33,6.94109407181e-33,9.64312398606e-24
0.21,0.01,0.231762745783,0.133353806388,6.02643655084e-22,-6.29522780386e-33,5.71028452682e-33,3.46754716905e-22
0.22,0.01,0.231762745781,0.133353806389,1.77421529671e-20,-4.36280841756e-33,3.84519384699e-33,1.02086451544e-20
0.23,0.01,0.231762745781,0.133353806389,4.27654605803e-19,-2.57316149101e-33,2.16706966346e-33,2.46067888571e-19
0.24,0.01,0.231762745781,0.133353806389,8.43958500355e-18,-3.16812335739e-33,1.96362594472e-33,4.85604699226e-18
0.25,0.01,0.231762745781,0.133353806389,1.36360986176e-16,-3.30965204589e-32,1.66814377098e-32,7.84606537528e-17
0.26,0.01,0.231762745781,0.133353806389,1.80384941009e-15,-4.32188417342e-31,2.16132202829e-31,1.0379156675e-15
0.27,0.01,0.231762745781,0.133353806389,1.95367143941e-14,-4.67941258572e-30,2.3397150947e-30,1.12412166158e-14
0.28,0.01,0.231762745781,0.133353806389,1.73238286773e-13,-4.14935470862e-29,2.0746775196e-29,9.96794583e-14
0.29,0.01,0.231762745781,0.133353806389,1.25770079751e-12,-3.01240905755e-28,1.50620453129e-28,7.23667594126e-13
0.3,0.01,0.231762745781,0.133353806389,7.47570053805e-12,-1.79055845135e-27,8.95279225707e-28,4.3014381747e-12
0.31,0.01,0.231762745781,0.133353806389,3.63804075087e-11,-8.71373134742e-27,4.35686567371e-27,2.09328975756e-11
0.32,0.01,0.231762745781,0.133353806389,1.44952038166e-10,-3.47184983711e-26,1.73592491856e-26,8.34038532298e-11
0.33,0.01,0.231762745781,0.133353806389,4.72848697044e-10,-1.13255370023e-25,7.07846062646e-26,2.72072085548e-10
0.34,0.01,0.231762745781,0.133353806389,1.26287733843e-09,-3.02480774828e-25,1.89050484267e-25,7.26646120431e-10
0.35,0.01,0.231762745781,0.133353806389,2.76147583162e-09,-6.61420807705e-25,4.13388004816e-25,1.58892367346e-09
0.36,0.01,0.231762745781,0.133353806389,4.94381745004e-09,-1.18412904198e-24,6.66072586115e-25,2.84461971157e-09
0.37,0.01,0.231762745781,0.133353806389,7.24644014069e-09,-1.73564665527e-24,9.7630124361e-25,4.16952419284e-09
0.38,0.01,0.231762745781,0.133353806389,8.6961715083e-09,-2.0828821702e-24,1.20416625718e-24,5.0036841242e-09
0.39,0.01,0.231762745781,0.133353806389,8.54422327972e-09,-2.04648760667e-24,1.18312589518e-24,4.91625473779e-09
0.4,0.01,0.231762745781,0.133353806389,6.87318741844e-09,-1.64621628838e-24,9.26015959073e-25,3.95475856651e-09
0.41,0.01,0.231762745781,0.133353806389,4.52673309285e-09,-1.08219806128e-24,6.09994593191e-25,2.60463383106e-09
0.42,0.01,0.231762745781,0.133353806389,2.44091520848e-09,-4.71717601464e-25,3.68933456006e-25,1.40447651768e-09
0.43,0.01,0.231762745781,0.133353806389,1.07760997152e-09,4.87947446262e-24,1.91748469007e-25,6.20045258011e-10
0.44,0.01,0.231762745781,0.133353806389,3.89503722412e-10,1.91276895655e-22,-3.66155747198e-24,2.24116278099e-10
0.45,0.01,0.231762745777,0.13335380639,1.15266399298e-10,5.83618400871e-21,-2.61445958305e-22,6.6323053959e-11
0.46,0.01,0.231762745303,0.133353806532,2.79276856635e-11,1.45723254021e-19,-1.02240973752e-20,1.60692916838e-11
0.47,0.01,0.231762693384,0.133353825403,5.53998498055e-12,2.97898168841e-18,-2.84560024331e-19,3.18764616806e-12
0.48,0.01,0.231757020832,0.133356213877,8.99820356623e-13,4.98594967645e-17,-6.02721988717e-18,5.17715823419e-13
0.49,0.01,0.231145143827,0.133645300111,1.20580890014e-13,6.83233341258e-16,-9.9919867856e-17,6.89773926455e-14
0.5,0.01,0.197921696683,0.15088928141,2.35753463949e-14,7.66533810598e-15,-1.31542647403e-15,9.30492527291e-15
0.51,0.01,0.161350025035,0.172776270863,9.80720742257e-14,7.04100549903e-14,-1.38685707434e-14,1.97564468252e-14
0.52,0.01,0.157219706665,0.177909430988,7.28901083452e-13,5.29516082378e-13,-1.17727373218e-13,1.62086575639e-13
0.53,0.01,0.153757852499,0.182668858754,4.48749708234e-12,3.26035379695e-12,-8.07562331235e-13,1.11151710491e-12
0.54,0.01,0.150302867007,0.18742418586,2.26219674299e-11,1.64358212251e-11,-4.48785247017e-12,6.17699914416e-12
0.55,0.01,0.146847951265,0.192179468915,9.33680202636e-11,6.783583747e-11,-2.02432069884e-11,2.78623841169e-11
0.56,0.01,0.14339303623,0.196934751501,3.1550557376e-10,2.29228217159e-10,-7.42186288597e-11,1.02153178925e-10
0.57,0.01,0.139938121201,0.201690034083,8.72884988744e-10,6.3418806638e-10,-2.21418933545e-10,3.04757016982e-10
0.58,0.01,0.136483206173,0.206445316664,1.97718868662e-09,1.43651166672e-09,-5.37972413769e-10,7.40455504024e-10
0.59,0.01,0.133028291145,0.211200599246,3.66674164979e-09,2.66404374778e-09,-1.0652463125e-09,1.46618576537e-09
0.6,0.01,0.129573376117,0.215955881827,5.56741518819e-09,4.04496390528e-09,-1.7200083499e-09,2.36738839586e-09
0.61,0.01,0.126118461089,0.220711164409,6.9209866635e-09,5.02839114679e-09,-2.26571099834e-09,3.11848365513e-09
0.62,0.01,0.122663546061,0.22546644699,7.04406767732e-09,5.11781473772e-09,-2.43579930403e-09,3.35259012396e-09
0.63,0.01,0.119208631033,0.230221729572,5.86975713645e-09,4.2646281887e-09,-2.13788666856e-09,2.94254855862e-09
0.64,0.01,0.115753716005,0.234977012153,4.00458807294e-09,2.90950354214e-09,-1.53234300355e-09,2.10908920605e-09
0.65,0.01,0.112298800976,0.239732294735,2.23684901208e-09,1.625165936e-09,-8.97139881297e-10,1.23480711275e-09
0.66,0.01,0.108843885948,0.244487577316,1.02295515119e-09,7.43220421582e-10,-4.29128944223e-10,5.90645320379e-10
0.67,0.01,0.10538897092,0.249242859898,3.83016620582e-10,2.78277863785e-10,-1.67732740643e-10,2.30864311693e-10
0.68,0.01,0.101934055892,0.253998142479,1.17413963815e-10,8.53062380933e-11,-5.35820622149e-11,7.37493816941e-11
0.69,0.01,0.0984791408639,0.258753425061,2.94688360706e-11,2.14103626561e-11,-1.39911525586e-11,1.92571694283e-11
0.7,0.01,0.0950242258358,0.263508707642,6.05546250728e-12,4.39955103828e-12,-2.98657911084e-12,4.11067349222e-12
0.71,0.01,0.0915693108077,0.268263990224,1.01876205259e-12,7.40173957128e-13,-5.21229577751e-13,7.17410967232e-13
0.72,0.01,0.0881143957795,0.273019272805,1.40326374103e-13,1.01953078586e-13,-7.43809145507e-14,1.02376546016e-13
0.73,0.01,0.0846594807514,0.277774555387,1.58251177835e-14,1.14976210804e-14,-8.67980442682e-15,1.19467258863e-14
0.74,0.01,0.0812045657233,0.282529837968,1.4611530272e-15,1.06158981418e-15,-8.28340776377e-16,1.14011326859e-15
0.75,0.01,0.0777496506952,0.28728512055,1.10455044987e-16,8.02502876161e-17,-6.46532254392e-17,8.89875305947e-17
0.76,0.01,0.074294735667,0.292040403131,6.83622762922e-18,4.96681010376e-18,-4.12745043097e-18,5.68094815083e-18
0.77,0.01,0.0708398206389,0.296795685713,3.46408529652e-19,2.51680528856e-19,-2.15531099741e-19,2.96653108983e-19
0.78,0.01,0.0673849056108,0.301550968294,1.43714882028e-20,1.04414973701e-20,-9.20657419732e-21,1.26717622747e-20
0.79,0.01,0.0639299905816,0.306306250874,4.88153055357e-22,3.546639549e-22,-3.21712414121e-22,4.42799150384e-22
0.8,0.01,0.0604750755053,0.311061533407,1.35753609231e-23,9.86307705286e-24,-9.19684904456e-24,1.26583767458e-23
0.81,0.01,0.0570201582518,0.315816813857,3.0909207245e-25,2.24568544646e-25,-2.15094849856e-25,2.96052657771e-25
0.82,0.01,0.0535651411226,0.320572003394,5.76189935957e-27,4.1862720141e-27,-4.11583422044e-27,5.66495563715e-27
0.83,0.01,0.0501055670062,0.325323226532,8.79414831457e-29,6.38978268955e-29,-6.44400619495e-29,8.86911692675e-29
0.84,0.01,0.0464395471298,0.329901941983,1.09990332771e-30,8.01570349678e-31,-8.27065382762e-31,1.13664338083e-30
0.85,0.01,0.0343428748356,0.327695283996,1.16941926771e-32,9.55942268095e-33,-9.41825746352e-33,1.21572577e-32
0.86,0.01,-0.040826035892,0.27682152786,2.55206518481e-34,5.64051090506e-34,-3.67511457541e-34,1.97434175878e-34
